title,link,date,sector,subsector,author,points
Saudi energy minister defends US shale producers: 'They are creating jobs',https://www.cnbc.com/oil-gas/?page=0,2019/12/06,Energy,oil-gas/,Matt Clinch,"[""The U.S. is now the world's largest oil producer hitting 12.3 million b/d in 2019, according to the U.S. Energy Information Administration, up from 11 million b/d in 2018. "", 'It produces more oil than Saudi Arabia and Russia now, although there are signs that production growth is slowing in the States.']"
Oil rises as OPEC and allies announce deep production cut,https://www.cnbc.com/oil-gas/?page=0,2019/12/06,Energy,oil-gas/,Pippa Stevens,
'Is this the beginning of the end?': OPEC discord raises questions about its long-term future,https://www.cnbc.com/oil-gas/?page=0,2019/12/06,Energy,oil-gas/,Sam Meredith ,"['It was initially unclear whether  OPEC members had secured a deal on Thursday, following an acrimonious meeting that ran late into the evening.', 'Herman Wang, OPEC and Middle East specialist at S&P Global Platts, said the meeting had caused him to question the long-term future of OPEC.', 'Speaking to CNBC\'s Dan Murphy in Vienna on Friday, Wang said: ""What we saw last night was not a unified OPEC. Is this the beginning of the end?""']"
OPEC and its allies agree to deepen oil production cuts,https://www.cnbc.com/oil-gas/?page=0,2019/12/06,Energy,oil-gas/,Sam Meredith ,"['The new deal, which is much larger than many analysts had expected, will see OPEC+ reduce total oil output by 1.7 million b/d.', ""Saudi Arabia's Energy Minister Prince Abdulaziz bin Salman\xa0explained his country would also extend a voluntary cut of 400,000 b/d. "", ""This means the energy alliance's total cuts would effectively amount to 2.1 million b/d, he said."", 'The energy alliance has said it plans to review the policy at a meeting on March 5-6.']"
Saudi minister looks to make his mark as OPEC meeting gets underway,https://www.cnbc.com/oil-gas/?page=0,2019/12/05,Energy,oil-gas/,Hadley Gamble,"['With current cuts set to expire in March, sources told Reuters that a new deal could be extended to June or until the end of 2020. ', 'Key to any deal will be the ability to get all members on side, including Russia.']"
"Saudi Arabia denies pushing OPEC allies to commit to a deeper round of production cuts, source says",https://www.cnbc.com/oil-gas/?page=0,2019/12/05,Energy,oil-gas/,Sam Meredith ,"['The oil-rich kingdom was widely considered to be pushing for other OPEC members to sign up for at least an additional 400,000 barrels per day of production cuts on Thursday. ', 'But, one anonymous Saudi oil official told CNBC on the sidelines of a meeting in Vienna, Austria that this was not the case — and Riyadh had not proposed any figures.', 'OPEC and non-OPEC allies — sometimes referred to as OPEC+ — have gathered in Vienna this week to discuss the next phase of their oil production policy.']"
OPEC meeting ends with market expecting deep production cut,https://www.cnbc.com/oil-gas/?page=0,2019/12/05,Energy,oil-gas/,Holly Ellyatt,"['Global oil-producing group OPEC reportedly considered cutting production by an additional 500,000 barrels per day as its biannual meeting kicked off Thursday in Vienna.', 'The reported 500,000 cut is larger than the numbers floated ahead of the meeting. It would bring the total production cut to 1.7 million barrels per day.', 'On Friday, OPEC and its allies — known as OPEC+ and which includes Russia — will meet to finalize any proposed measures, including how any cuts would be implemented by each country.']"
Everything you need to watch out for at this week's OPEC+ meeting,https://www.cnbc.com/oil-gas/?page=0,2019/12/04,Energy,oil-gas/,Sam Meredith ,"['OPEC members will host a meeting in Vienna, Austria, on Thursday to discuss the next phase of their oil production policy.', 'The 14-member group will then hold talks with non-OPEC allies on Friday.', '""I think there is a possibility that we see around 400,000 barrels per day deeper cuts,"" Amrita Sen, chief oil analyst at Energy Aspects, told CNBC\'s Dan Murphy in Vienna on Wednesday.']"
Here are 5 major storylines to follow heading into the big OPEC meeting this week,https://www.cnbc.com/oil-gas/?page=0,2019/12/04,Energy,oil-gas/,Brian Sullivan,
Russia opens Siberian pipeline to China as Beijing expands its influence in the Arctic,https://www.cnbc.com/oil-gas/?page=0,2019/12/04,Energy,oil-gas/,Grace Shao,"['The pipeline comes after China unveiled a plan nearly two years ago called the ""Polar Silk Road,"" expanding its campaign for influence to the Arctic.', 'The resource-rich region is at the heart of the geopolitical battle and struggle for influence.', ""As Moscow's relationship with Western countries becomes more frail, Russian business leaders look for more economic opportunities with China, especially in energy.""]"
Repsol says it will reach zero emissions by 2050,https://www.cnbc.com/oil-gas/?page=0,2019/12/03,Energy,oil-gas/,Pippa Stevens,"['Spain-based Repsol said on Monday that it will be carbon neutral by 2050.', 'The company said changes to its oil operations — including shifting the upstream focus to value creation rather than volume, and integrating renewable energy into its refining operations — as well as an increase in its alternative energy portfolio will help the company reach zero emissions.', '""We are convinced that we must set more ambitious objectives to fight climate change,"" Repsol CEO Josu Jon Imaz said in a statement. ""We are convinced that this strengthens our project that is sustainable, attractive and profitable for all our stakeholders.""']"
"Natural gas is one of the few trades that hasn't worked on Wall Street, down 50% in 12 months",https://www.cnbc.com/oil-gas/?page=0,2019/12/02,Energy,oil-gas/,Pippa Stevens,"['Natural gas prices fell to a one-month low on Friday, and are currently nearly 50% below where they traded a year ago.', 'Warmer temperatures and record production levels have led to oversupply concerns.', 'The ""recent dip in prices may have run its course,"" KKM Financial\'s Jeff Kilburg said. ""I believe you have to respect the range and view the recent selling action as a Black Friday sale for Nat Gas,"" he added.', 'Longer-term Bespoke Weather chief meteorologist Brian Lovern said that if warmer temperatures continue prices could plunge below the $2.00 level.']"
"Tesla cars built in China have been recommended for government subsidies, report says",https://www.cnbc.com/renewable-energy/?page=0,2019/12/06,Energy,renewable-energy/,Anmar Frangoul,"['Tesla is one of several vehicle firms attempting to make inroads into the Chinese market.', 'China is home to the biggest electric car market on the planet.']"
Governments are adopting different strategies for reducing their carbon footprint,https://www.cnbc.com/renewable-energy/?page=0,2019/12/05,Energy,renewable-energy/,Nessa Anwar,
Amazon gives green light to new solar projects in the US and Spain,https://www.cnbc.com/renewable-energy/?page=0,2019/12/03,Energy,renewable-energy/,Anmar Frangoul,"['The three facilities are expected to generate nearly 700,000 megawatt hours of energy per year.', 'Amazon is not alone in its desire be more sustainable, with many major firms attempting to use more renewable energy to power their operations.\xa0']"
The past decade is set to be the warmest on record,https://www.cnbc.com/renewable-energy/?page=0,2019/12/03,Energy,renewable-energy/,Anmar Frangoul,"[""The World Meteorological Organization's report paints a stark picture."", 'This year is now ""on course"" to be the second or third warmest on record, it says.\xa0']"
"Major European utility Iberdrola plans to replace coal-fired plants with solar, wind",https://www.cnbc.com/renewable-energy/?page=0,2019/12/02,Energy,renewable-energy/,Anmar Frangoul,"['The coal-fired plants are in the north of the country and have a combined capacity of 874 megawatts.', 'On the first day of the COP25 climate summit in Madrid, Ignacio Galan seeks to emphasize the importance of the COP21 summit, which took place in Paris in 2015.']"
COP25 climate summit starts as UN chief says the planet faces a 'point of no-return',https://www.cnbc.com/renewable-energy/?page=0,2019/12/02,Energy,renewable-energy/,Anmar Frangoul,"['The COP25 climate summit, in the Spanish capital of Madrid, got underway Monday.', 'UN secretary general\xa0Antonio Guterres says ""we simply have to stop digging and drilling.""']"
Governments are adopting different strategies for reducing their carbon footprint,https://www.cnbc.com/utilities/?page=0,2019/12/05,Utilities,utilities/,Nessa Anwar,
"For people with student debt, 2020 could be the year everything changes",https://www.cnbc.com/finance/?page=0,2019/12/06,Financials,finance/,Annie Nova,"['Several plans would\xa0rewrite the rules around student loan interest, repayment and refinancing.', 'Some of the changes would leave people with less debt and different ways to repay it.\xa0']"
"Kudlow says a trade deal is close, but Trump is prepared to 'walk away' if some conditions not met",https://www.cnbc.com/finance/?page=0,2019/12/06,Financials,finance/,Yun Li,"['Kudlow said  the U.S. and China are close to a trade deal, ""probably even closer than in mid-November.""', 'The administration was prepared to walk away if they did not get the terms they wanted, he said.', '""The president has said that if we can not get the enforcement and the assurances, then we will not go forward,"" he said.']"
"SoftBank will get the 'last laugh' when a 'profitable' WeWork goes public one day, Bernstein says",https://www.cnbc.com/finance/?page=0,2019/12/06,Financials,finance/,Yun Li,"['Chris Lane, senior research analyst at AB Bernstein, said SoftBank will have the ""last laugh"" when it brings the company back to market in a few years.', ""The analyst compared WeWork's model to Starbuck's where the profitability comes from big scale.\xa0"", 'SoftBank recorded a $3.4 billion writedown on its WeWork investment about two weeks after taking 80% control of the company with a new $5 billion financing package.']"
"Your first trade for Friday, December 6",https://www.cnbc.com/finance/?page=0,2019/12/06,Financials,finance/,Tyler Bailey,
"Look out Chick-fil-A and Popeyes, McDonald's new chicken sandwich is 'really good,' analyst says",https://www.cnbc.com/finance/?page=0,2019/12/06,Financials,finance/,Maggie Fitzgerald,"['McDonald\'s is expected to launch a crispy chicken sandwich in the beginning of next year and Telsey Advisory Group said its going to be a ""big U.S. hit for the chain.""\xa0', 'The U.S. chicken marketplace has grown more than 14% this year to about $4.5 million sales per store, according to the firm.\xa0', ""Chick-fil-A, Popeye's and Wendy's have achieved great success from the rise in popularity of their chicken sandwiches.""]"
Biden says Trump's pressure on the Federal Reserve is an abuse of power,https://www.cnbc.com/finance/?page=0,2019/12/06,Financials,finance/,Thomas Franck,"[""President Trump's attacks on the Federal Reserve and Chairman Jerome Powell are an abuse of power, according to 2020 front-runner Joe Biden."", '""The president should not be trying to pressure the Fed,"" Biden says in an interview with CNBC. ""That\'s supposed to be an independent entity out here.""', 'The president lambasted what he considered multiple restrictive interest rate hikes throughout 2018 and has said ""People are VERY disappointed in Jay Powell.""']"
"Stocks making the biggest moves premarket: Tesla, Tapestry, Big Lots, Uber, Ulta & more",https://www.cnbc.com/finance/?page=0,2019/12/06,Financials,finance/,Peter Schacknow,
This chart shows how 'depressing' life has been for stock pickers,https://www.cnbc.com/finance/?page=0,2019/12/06,Financials,finance/,Maggie Fitzgerald,"['In a universe of 16,000 global and emerging market stocks, only 22% have beat the S&P 500 in the past two years, according to\xa0Societe Generale.', '""The strong performance of the S&P 500 leaves everything in its wake,"" said Andrew Lapthorne, Global Head of Quantitative Research at the firm.\xa0', ""It's no surprise that assets in passive investing topped those of active investing for the first time ever in August,\xa0as\xa0passive investing consistently outperforms active over long time periods despite active management charging higher fees.""]"
"Stocks making the biggest moves after hours: Ulta, CrowdStrike, Zoom Video and more",https://www.cnbc.com/finance/?page=0,2019/12/05,Financials,finance/,Ganesh Setty,
"November's jobs report to show pick-up in pace from October, but mostly because of GM effect",https://www.cnbc.com/finance/?page=0,2019/12/05,Financials,finance/,Patti Domm,"['The economy is expected to have added 180,000 or more jobs in November, but the real trend of job growth is more like 150,000.', ""The pace of job growth has slowed this year, and in fact for the year-to-date through October, it's the slowest pace since the early days of the recovery in 2010."", ""Job growth is still strong enough, however, and the slower pace should have no impact on the Fed's decision, unless it falls more."", 'Economists said the slower growth is due to a lack of workers and the trade war.']"
Digital bank Chime quadruples valuation in less than a year to $5.8 billion as it takes on megabanks,https://www.cnbc.com/finance/?page=0,2019/12/05,Financials,finance/,Hugh Son,"['Chime, valued at $1.5 billion in March, is now pegged at $5.8 billion just\xa0nine months later, according to people with knowledge of the matter.', 'The leading U.S. digital bank raised a record $500 million in a Series E, showing that massive funding rounds are still available for some start-ups.', ""Chime will use the money to build on its torrid growth, including doubling the company's headcount by 2020 and potentially acquiring competitors, the people said.""]"
Here's what happened to the stock market on Thursday,https://www.cnbc.com/finance/?page=0,2019/12/05,Financials,finance/,Fred Imbert,
"Jobs report, consumer sentiment, Kudlow speaks: 3 things to watch for Friday",https://www.cnbc.com/finance/?page=0,2019/12/05,Financials,finance/,Yun Li,
"US and China disagree on the size of agriculture purchases, report says",https://www.cnbc.com/finance/?page=0,2019/12/05,Financials,finance/,Yun Li,"['President Donald Trump is asking China to buy $40 billion to $50 billion of farm goods a year, which is significantly higher than the $8.6 billion the country bought last year, The Wall Street Journal reported.', ""The administration is also demanding that China publicly announce its purchasing plans and say that they wouldn't depend on market conditions or China's trade obligations, sources told the Journal.""]"
Treasury Secretary Mnuchin says China should be 'graduated' from supportive World Bank loan program,https://www.cnbc.com/finance/?page=0,2019/12/05,Financials,finance/,Thomas Franck,"['Asked by Republican Rep. Anthony Gonzalez whether he\'d support graduating Beijing from select World Bank lending, Mnuchin replied, ""I do.""', 'The question from Gonzalez comes as the congressman works to pass legislation that would curb World Bank funding to China.', '""China claims that it wants to be seen as an equal to the U.S. in the global economy. If that\'s the case, it needs to step up,"" former U.S. trade advisor Clete Willems says.']"
"Despite the rise of online banks, millennials are still visiting branches",https://www.cnbc.com/finance/?page=0,2019/12/05,Financials,finance/,Kate Rooney,"['A new report from Jefferies suggests that young people are still embracing bank branches, despite the rise of digital-only banks.', 'Physical banking locations ""are still viewed as important"" and are still a top factor in picking a new bank, according to a new Jefferies retail banking survey. Respondents are still relying on physical locations, especially those age 18 to 34.', 'So-called challenger banks have raised more than $3 billion in venture capital funding this year, according to CB Insights.']"
"Nearly 40% of Facebook's valuation is on the line from regulatory risk, HSBC says",https://www.cnbc.com/finance/?page=0,2019/12/05,Financials,finance/,Maggie Fitzgerald,"['HSBC Global Strategies initiated coverage of Facebook with a reduce rating, recommending investors sell the stock.', ""The firm said\xa0said regulatory overhang is\xa0equivalent to 38.5% of Facebook's current valuation."", 'Trust-busting, anti-competitive fines, privacy fines, taxation, merger control and telecoms-type regulation all pose potential implications to valuation the firm said.\xa0']"
Goldman Sachs has a simple 'laggard' stocks strategy for early 2020 that tends to beat the market,https://www.cnbc.com/finance/?page=0,2019/12/05,Financials,finance/,Yun Li,"['The strategy to pick up battered stocks in the beginning of a given year has a good track record of beating the market, according to Goldman. ', 'Among the bottom third of the S&P 500 in terms of 2019 performance, Goldman recommended buying the laggards that its analysts have out-of-consensus buy ratings and above-consensus estimates.', 'Westlake Chemical, L Brands, Terex, Yelp, Cree and Under Armour are some of the ""buy-rated laggards"" of 2019 where the majority of the Street has neutral or sell ratings but Goldman analysts recommend buying.']"
"Your first trade for Thursday, December 5",https://www.cnbc.com/finance/?page=0,2019/12/05,Financials,finance/,Tyler Bailey,
US trade deficit drops in October to lowest level in more than a year,https://www.cnbc.com/finance/?page=0,2019/12/05,Financials,finance/,Fred Imbert,"['The U.S. trade deficit tumbled 7.6% to $47.2 billion in October from a revised print of $51.1 billion for September.', 'Imports dropped by 1.7%, or $4.3 billion, to $254.3 billion.', 'Exports dipped 0.2%, or $400 million, to $207.1 billion.']"
Shares of biotech Aurinia surge 78% after positive data for Lupus drug,https://www.cnbc.com/finance/?page=0,2019/12/05,Financials,finance/,Yun Li,"['Aurinia said\xa0its phase three trial for drug voclosporin posted positive efficacy and safety results  in the treatment of lupus nephritis.', 'Some analysts expect the stock to quadruple on the better-than-expected trial results.']"
"Stocks making the biggest moves premarket: Nike, Dollar General, Apple, Chewy, Tiffany & more",https://www.cnbc.com/finance/?page=0,2019/12/05,Financials,finance/,Peter Schacknow,
This seasonal trend implies investors will be cheering December — despite the choppy start,https://www.cnbc.com/finance/?page=0,2019/12/05,Financials,finance/,Stephanie Landsman,
"Robinhood democratizes stocks for younger generations, co-founder says",https://www.cnbc.com/finance/?page=0,2019/12/04,Financials,finance/,Tyler Clifford,"['""I think it\'s just a testament to what we\'ve been able to do,"" Robinhood co-CEO Vladimir Tenev tells CNBC\'s Jim Cramer about the company reaching 10 million subscribers.', '""We\'re proud of the fact that we\'ve enabled so many younger investors and first-time investors to have access to the markets"" in the wake of the 2008 financial crisis, he says in a ""Mad Money"" interview.', '""We saw an opportunity to build a product that really spoke to [the millennial] generation, and commission is a part of it,"" co-CEO Baiju Bhatt says.']"
"Stocks making biggest moves after hours: Slack, Verint, Five Below & more",https://www.cnbc.com/finance/?page=0,2019/12/04,Financials,finance/,Al Lewis,
Here's what happened to the stock market on Wednesday,https://www.cnbc.com/finance/?page=0,2019/12/04,Financials,finance/,Fred Imbert,
"Jobs data, Tiffany earnings, Aramco IPO final pricing: 3 things to watch for Thursday",https://www.cnbc.com/finance/?page=0,2019/12/04,Financials,finance/,Yun Li,
Bull markets often end with a euphoric rally called a 'blow-off top.' We may have just had one,https://www.cnbc.com/finance/?page=0,2019/12/04,Financials,finance/,Fred Imbert,"['The Dow was up 10.5% over the course of just 74 trading days from mid-August to late November.', 'That kind of rally is similar to the ones that ended previous bull markets, data from Ned Davis Research shows.', 'The Dow has posted a median gain of 13.4% over a median time frame of 61 days in blow-off tops dating to 1901, according to the data.']"
"Job growth is slowing in the trade war, but that may not be clear in Friday's payroll data",https://www.cnbc.com/finance/?page=0,2019/12/04,Financials,finance/,Patti Domm,"['Job growth looks to be in a slower trajectory, and the trade war has clearly taken its toll, economists say.', ""The ADP payroll report showing only 67,000 private-sector jobs were added in November raises worries that the government's data on Friday may not be as strong as expected."", 'The impact of returning workers from the GM strike may muddy the November report, but in a positive way.']"
"Stocks making the biggest moves midday: Expedia, Salesforce, Workday, Alphabet & more",https://www.cnbc.com/finance/?page=0,2019/12/04,Financials,finance/,Yun Li,
"Your first trade for Wednesday, Nov. 4",https://www.cnbc.com/finance/?page=0,2019/12/04,Financials,finance/,,
Start-up Robinhood tops 10 million accounts even as industry follows in free-trading footsteps,https://www.cnbc.com/finance/?page=0,2019/12/04,Financials,finance/,Maggie Fitzgerald,"['Silicon Valley start-up Robinhood has more than 10 million accounts, the company said Wednesday.', 'Robinhood has grown rapidly from its one million subscribers in 2016 and six million users in October of 2018.', 'Robinhood landed a $7.6 billion valuation in July after its latest funding round.']"
"Trump won't ruin Christmas for Wall Street with China tariffs, investor Peter Boockvar predicts",https://www.cnbc.com/finance/?page=0,2019/12/04,Financials,finance/,Stephanie Landsman,
"Stocks making the biggest moves premarket: Campbell Soup, Alphabet, Salesforce & more",https://www.cnbc.com/finance/?page=0,2019/12/04,Financials,finance/,Peter Schacknow,
"For people with student debt, 2020 could be the year everything changes",https://www.cnbc.com/finance/?page=1,2019/12/06,Financials,finance/,Annie Nova,"['Several plans would\xa0rewrite the rules around student loan interest, repayment and refinancing.', 'Some of the changes would leave people with less debt and different ways to repay it.\xa0']"
"Kudlow says a trade deal is close, but Trump is prepared to 'walk away' if some conditions not met",https://www.cnbc.com/finance/?page=1,2019/12/06,Financials,finance/,Yun Li,"['Kudlow said  the U.S. and China are close to a trade deal, ""probably even closer than in mid-November.""', 'The administration was prepared to walk away if they did not get the terms they wanted, he said.', '""The president has said that if we can not get the enforcement and the assurances, then we will not go forward,"" he said.']"
"SoftBank will get the 'last laugh' when a 'profitable' WeWork goes public one day, Bernstein says",https://www.cnbc.com/finance/?page=1,2019/12/06,Financials,finance/,Yun Li,"['Chris Lane, senior research analyst at AB Bernstein, said SoftBank will have the ""last laugh"" when it brings the company back to market in a few years.', ""The analyst compared WeWork's model to Starbuck's where the profitability comes from big scale.\xa0"", 'SoftBank recorded a $3.4 billion writedown on its WeWork investment about two weeks after taking 80% control of the company with a new $5 billion financing package.']"
"Your first trade for Friday, December 6",https://www.cnbc.com/finance/?page=1,2019/12/06,Financials,finance/,Tyler Bailey,
"Look out Chick-fil-A and Popeyes, McDonald's new chicken sandwich is 'really good,' analyst says",https://www.cnbc.com/finance/?page=1,2019/12/06,Financials,finance/,Maggie Fitzgerald,"['McDonald\'s is expected to launch a crispy chicken sandwich in the beginning of next year and Telsey Advisory Group said its going to be a ""big U.S. hit for the chain.""\xa0', 'The U.S. chicken marketplace has grown more than 14% this year to about $4.5 million sales per store, according to the firm.\xa0', ""Chick-fil-A, Popeye's and Wendy's have achieved great success from the rise in popularity of their chicken sandwiches.""]"
Biden says Trump's pressure on the Federal Reserve is an abuse of power,https://www.cnbc.com/finance/?page=1,2019/12/06,Financials,finance/,Thomas Franck,"[""President Trump's attacks on the Federal Reserve and Chairman Jerome Powell are an abuse of power, according to 2020 front-runner Joe Biden."", '""The president should not be trying to pressure the Fed,"" Biden says in an interview with CNBC. ""That\'s supposed to be an independent entity out here.""', 'The president lambasted what he considered multiple restrictive interest rate hikes throughout 2018 and has said ""People are VERY disappointed in Jay Powell.""']"
"Stocks making the biggest moves premarket: Tesla, Tapestry, Big Lots, Uber, Ulta & more",https://www.cnbc.com/finance/?page=1,2019/12/06,Financials,finance/,Peter Schacknow,
This chart shows how 'depressing' life has been for stock pickers,https://www.cnbc.com/finance/?page=1,2019/12/06,Financials,finance/,Maggie Fitzgerald,"['In a universe of 16,000 global and emerging market stocks, only 22% have beat the S&P 500 in the past two years, according to\xa0Societe Generale.', '""The strong performance of the S&P 500 leaves everything in its wake,"" said Andrew Lapthorne, Global Head of Quantitative Research at the firm.\xa0', ""It's no surprise that assets in passive investing topped those of active investing for the first time ever in August,\xa0as\xa0passive investing consistently outperforms active over long time periods despite active management charging higher fees.""]"
"Stocks making the biggest moves after hours: Ulta, CrowdStrike, Zoom Video and more",https://www.cnbc.com/finance/?page=1,2019/12/05,Financials,finance/,Ganesh Setty,
"November's jobs report to show pick-up in pace from October, but mostly because of GM effect",https://www.cnbc.com/finance/?page=1,2019/12/05,Financials,finance/,Patti Domm,"['The economy is expected to have added 180,000 or more jobs in November, but the real trend of job growth is more like 150,000.', ""The pace of job growth has slowed this year, and in fact for the year-to-date through October, it's the slowest pace since the early days of the recovery in 2010."", ""Job growth is still strong enough, however, and the slower pace should have no impact on the Fed's decision, unless it falls more."", 'Economists said the slower growth is due to a lack of workers and the trade war.']"
Digital bank Chime quadruples valuation in less than a year to $5.8 billion as it takes on megabanks,https://www.cnbc.com/finance/?page=1,2019/12/05,Financials,finance/,Hugh Son,"['Chime, valued at $1.5 billion in March, is now pegged at $5.8 billion just\xa0nine months later, according to people with knowledge of the matter.', 'The leading U.S. digital bank raised a record $500 million in a Series E, showing that massive funding rounds are still available for some start-ups.', ""Chime will use the money to build on its torrid growth, including doubling the company's headcount by 2020 and potentially acquiring competitors, the people said.""]"
Here's what happened to the stock market on Thursday,https://www.cnbc.com/finance/?page=1,2019/12/05,Financials,finance/,Fred Imbert,
"Jobs report, consumer sentiment, Kudlow speaks: 3 things to watch for Friday",https://www.cnbc.com/finance/?page=1,2019/12/05,Financials,finance/,Yun Li,
"US and China disagree on the size of agriculture purchases, report says",https://www.cnbc.com/finance/?page=1,2019/12/05,Financials,finance/,Yun Li,"['President Donald Trump is asking China to buy $40 billion to $50 billion of farm goods a year, which is significantly higher than the $8.6 billion the country bought last year, The Wall Street Journal reported.', ""The administration is also demanding that China publicly announce its purchasing plans and say that they wouldn't depend on market conditions or China's trade obligations, sources told the Journal.""]"
Treasury Secretary Mnuchin says China should be 'graduated' from supportive World Bank loan program,https://www.cnbc.com/finance/?page=1,2019/12/05,Financials,finance/,Thomas Franck,"['Asked by Republican Rep. Anthony Gonzalez whether he\'d support graduating Beijing from select World Bank lending, Mnuchin replied, ""I do.""', 'The question from Gonzalez comes as the congressman works to pass legislation that would curb World Bank funding to China.', '""China claims that it wants to be seen as an equal to the U.S. in the global economy. If that\'s the case, it needs to step up,"" former U.S. trade advisor Clete Willems says.']"
"Despite the rise of online banks, millennials are still visiting branches",https://www.cnbc.com/finance/?page=1,2019/12/05,Financials,finance/,Kate Rooney,"['A new report from Jefferies suggests that young people are still embracing bank branches, despite the rise of digital-only banks.', 'Physical banking locations ""are still viewed as important"" and are still a top factor in picking a new bank, according to a new Jefferies retail banking survey. Respondents are still relying on physical locations, especially those age 18 to 34.', 'So-called challenger banks have raised more than $3 billion in venture capital funding this year, according to CB Insights.']"
